pmid	included_c	included_w
30673459	NA	NA
30673460	NA	0
30673461	NA	NA
30673462	NA	NA
30673463	NA	NA
30673464	NA	NA
30673465	NA	NA
30673466	NA	NA
30673467	NA	NA
30673468	NA	NA
30673469	NA	NA
30673470	NA	NA
30673471	NA	NA
30673660	NA	NA
30673662	NA	NA
30673663	NA	NA
30673664	NA	NA
30673673	NA	NA
30674243	NA	NA
30674246	NA	NA
30674247	NA	NA
30674249	NA	NA
30674250	NA	NA
30674251	NA	NA
30674252	NA	NA
30674269	NA	NA
30674650	NA	NA
30674651	NA	NA
30674759	NA	0
30674760	NA	NA
30674761	0	NA
30674762	NA	NA
30674763	NA	NA
30674764	NA	NA
30674765	NA	NA
30674766	NA	NA
30674767	NA	NA
30674768	NA	0
30674769	NA	NA
30674770	NA	NA
30674771	NA	NA
30674772	NA	NA
30674773	NA	NA
30674774	NA	NA
30674775	NA	NA
30675150	NA	NA
30675151	NA	NA
30675152	NA	0
30675153	NA	NA
30675154	NA	NA
30675155	NA	NA
30675156	0	NA
30675157	0	NA
30675159	NA	NA
30675160	NA	NA
30675161	NA	NA
30675162	NA	NA
30675163	NA	NA
30675164	NA	NA
30675165	NA	NA
30675166	NA	NA
30675167	NA	NA
30675168	NA	NA
30675169	NA	NA
30675170	NA	NA
30675176	NA	NA
30675182	NA	NA
30675320	NA	NA
30675332	NA	NA
30675333	NA	NA
30675334	NA	NA
30675397	NA	NA
30675398	NA	NA
30675399	NA	NA
30675400	NA	NA
30675401	NA	NA
30675402	NA	NA
30675403	NA	NA
30675404	NA	NA
30675405	NA	NA
30675406	NA	NA
30675407	NA	NA
30675408	NA	NA
30675409	NA	NA
30675410	NA	NA
30675411	NA	NA
30675433	NA	NA
30675434	NA	NA
30675435	NA	NA
30675469	NA	NA
30675494	NA	NA
30675510	NA	NA
30675820	NA	NA
30676123	NA	NA
30676174	NA	NA
30676178	NA	NA
30676844	0	NA
30677272	NA	NA
30677273	NA	NA
30677274	NA	NA
30677275	NA	NA
30677276	NA	NA
30677277	NA	NA
30677278	NA	NA
30677279	NA	NA
30677280	NA	NA
30677281	NA	NA
30677282	NA	0
30677283	NA	NA
30677284	NA	NA
30677751	NA	NA
30677753	NA	NA
30677755	NA	NA
30677765	NA	NA
30679882	NA	NA
30679883	NA	NA
30679890	NA	NA
30679891	NA	NA
30679892	NA	NA
30679893	NA	0
30679894	NA	NA
30679901	NA	NA
30679931	NA	NA
30679948	NA	NA
30679949	NA	NA
30679950	NA	NA
30679951	NA	NA
30679952	NA	NA
30679953	NA	NA
30679954	NA	NA
30680052	NA	0
30680053	NA	NA
30680054	NA	NA
30680055	NA	NA
30680056	NA	NA
30680074	NA	NA
30680075	NA	NA
30680076	NA	NA
30680077	NA	NA
30680078	NA	NA
30680079	0	0
30680080	0	0
30680081	NA	NA
30680082	0	NA
30680083	NA	NA
30680084	NA	NA
30680085	NA	NA
30680086	NA	NA
30680229	0	NA
30680230	0	NA
30680231	NA	NA
30680232	NA	NA
30680233	0	NA
30680234	0	NA
30680235	1	1
30680236	0	0
30680237	0	NA
30680238	NA	NA
30680239	NA	NA
30680240	NA	NA
30680241	NA	NA
30680242	NA	NA
30680243	NA	NA
30680244	NA	NA
30680245	NA	NA
30680248	NA	NA
30680249	NA	NA
30680250	NA	NA
30680308	NA	NA
30680311	NA	NA
30680373	NA	NA
30680374	0	NA
30681023	NA	NA
30681025	NA	NA
30681026	NA	NA
30681039	NA	NA
30681883	NA	NA
30681887	NA	NA
30681893	NA	NA
30683020	NA	NA
30684323	NA	NA
30684324	NA	NA
30684325	NA	NA
30684326	NA	0
30684327	NA	NA
30684328	NA	NA
30684329	NA	NA
30684330	NA	NA
30684331	NA	NA
30684332	NA	NA
30684333	NA	NA
30684334	NA	NA
30684335	NA	NA
30684336	NA	NA
30684337	NA	0
30684338	NA	NA
30684339	NA	NA
30684340	NA	NA
30684341	0	NA
30684342	NA	NA
30684343	NA	NA
30684344	NA	NA
30684345	NA	NA
30684346	NA	NA
30684347	0	NA
30684348	NA	NA
30684349	NA	NA
30684350	NA	NA
30684351	NA	NA
30684352	NA	NA
30684353	NA	NA
30685762	NA	NA
30686000	NA	NA
30686001	NA	NA
30686002	NA	NA
30686003	NA	NA
30686004	NA	NA
30686005	NA	NA
30686006	NA	NA
30686007	NA	NA
30686008	NA	NA
30686011	NA	NA
30686012	NA	NA
30686013	NA	NA
30686014	NA	0
30686015	NA	NA
30686016	NA	0
30686017	NA	NA
30686018	NA	NA
30686019	NA	NA
30686020	NA	NA
30686021	NA	NA
30686249	1	1
30686250	0	NA
30686251	1	0
30686852	NA	NA
30686853	NA	NA
30686933	NA	NA
30686934	NA	NA
30686945	NA	NA
30686964	NA	NA
30686965	NA	NA
30686966	NA	NA
30686967	NA	NA
30686968	NA	0
30686969	NA	NA
30686970	NA	0
30686971	0	0
30686972	NA	NA
30686973	NA	NA
30686974	NA	NA
30686975	NA	NA
30686976	NA	NA
30686977	NA	NA
30686978	NA	NA
30686979	NA	NA
30686980	NA	NA
30686981	NA	NA
30686982	NA	NA
30686983	NA	NA
30686984	NA	NA
30686985	NA	NA
30686986	NA	NA
30686987	1	1
30686988	NA	NA
30686989	NA	NA
30686990	NA	NA
30686992	NA	NA
30686993	NA	NA
30686994	NA	NA
30686995	NA	NA
30686996	NA	NA
30686997	NA	NA
30686998	NA	NA
30686999	NA	NA
30687000	NA	0
30687001	NA	NA
30687002	NA	NA
30687003	NA	NA
30687004	NA	NA
30687005	NA	NA
30687006	NA	NA
30687007	NA	NA
30687008	NA	NA
30687009	NA	NA
30687010	NA	NA
30687011	NA	NA
30687012	NA	NA
30687013	NA	NA
30687014	NA	NA
30687015	NA	NA
30687016	NA	NA
30687017	NA	NA
30687018	NA	NA
30687019	NA	NA
30687020	NA	NA
30687021	NA	NA
30687022	NA	NA
30687023	NA	NA
30687024	NA	NA
30687025	NA	NA
30687026	NA	0
30687027	NA	NA
30687028	NA	NA
30687029	NA	NA
30687030	NA	NA
30687031	NA	NA
30687032	NA	NA
30687033	NA	NA
30687034	NA	NA
30687035	NA	NA
30687036	NA	NA
30687038	NA	NA
30687039	NA	NA
30687040	NA	NA
30687041	NA	NA
30687042	NA	NA
30687043	NA	NA
30687044	NA	NA
30687045	NA	NA
30687046	NA	NA
30687047	NA	NA
30687048	NA	NA
30687049	NA	NA
30687050	NA	NA
30687051	NA	NA
30687052	NA	0
30687053	NA	NA
30687054	NA	NA
30687055	NA	NA
30687056	NA	NA
30687057	NA	NA
30687075	NA	0
30687076	NA	NA
30687077	NA	NA
30687078	0	NA
30687079	NA	NA
30687081	NA	NA
30687082	NA	NA
30687083	NA	NA
30687084	NA	NA
30687085	NA	NA
30687086	0	NA
30687087	NA	NA
30687088	NA	NA
30687089	NA	NA
30687090	NA	NA
30687091	NA	NA
30687092	NA	NA
30687093	NA	NA
30687094	NA	NA
30687095	NA	NA
30687096	0	NA
30687097	NA	NA
30687098	NA	NA
30687099	NA	NA
30687100	NA	NA
30687101	NA	NA
30687102	NA	NA
30687103	NA	NA
30687104	NA	NA
30687105	NA	NA
30687106	NA	0
30687107	NA	NA
30687108	NA	NA
30687109	NA	NA
30687110	NA	NA
30687111	NA	NA
30687112	NA	0
30687113	NA	NA
30687114	NA	NA
30687115	NA	0
30687116	NA	NA
30687117	NA	NA
30687118	NA	NA
30687119	1	1
30687120	NA	NA
30687121	NA	NA
30687122	NA	NA
30687123	NA	NA
30687124	NA	NA
30687125	NA	NA
30687126	NA	NA
30687127	NA	0
30687128	NA	NA
30687129	NA	NA
30687130	NA	NA
30687131	NA	NA
30687132	NA	NA
30687133	NA	NA
30687134	NA	NA
30687135	NA	0
30687136	NA	NA
30687137	NA	NA
30687138	NA	NA
30687139	NA	NA
30687140	NA	0
30687141	NA	0
30687142	NA	NA
30687143	NA	NA
30687144	NA	NA
30687145	NA	NA
30687146	NA	NA
30687147	NA	NA
30687148	NA	NA
30687149	NA	NA
30687150	NA	NA
30687151	NA	NA
30687152	0	0
30687153	NA	NA
30687154	NA	NA
30687155	NA	NA
30687156	NA	NA
30687157	NA	NA
30687158	NA	NA
30687159	NA	NA
30687160	NA	NA
30687161	NA	NA
30687162	NA	NA
30687163	NA	NA
30687164	NA	NA
30687165	NA	NA
30687166	NA	NA
30687167	NA	NA
30687168	NA	NA
30687169	NA	NA
30687170	NA	NA
30687171	NA	NA
30687172	NA	NA
30687173	0	0
30687174	NA	NA
30687176	NA	NA
30687178	NA	NA
30687180	NA	NA
30687181	NA	NA
30687182	NA	NA
30687183	NA	NA
30687184	NA	NA
30687185	NA	NA
30687186	NA	NA
30687187	NA	NA
30687188	NA	NA
30687189	NA	NA
30687190	NA	NA
30687191	NA	NA
30687192	NA	NA
30687193	0	NA
30687194	NA	NA
30687195	NA	NA
30687196	NA	NA
30687197	NA	NA
30687198	NA	NA
30687199	NA	NA
30687200	NA	NA
30687201	NA	NA
30687202	NA	0
30687203	NA	NA
30687204	NA	NA
30687205	NA	NA
30687206	NA	NA
30687207	NA	NA
30687208	NA	NA
30687209	NA	1
30687210	NA	NA
30687211	1	1
30687212	NA	0
30687213	NA	NA
30687214	1	1
30687215	NA	NA
30687216	NA	NA
30687217	NA	NA
30687218	NA	NA
30687219	NA	0
30687221	NA	NA
30687222	NA	NA
30687223	0	NA
30687224	0	NA
30687225	NA	NA
30687226	NA	NA
30687227	NA	0
30687228	NA	0
30687229	NA	NA
30687230	NA	NA
30687231	NA	NA
30687232	NA	NA
30687233	NA	0
30687234	NA	NA
30687235	NA	NA
30687236	NA	NA
30687237	1	1
30687238	NA	NA
30687239	NA	NA
30687240	NA	NA
30687241	NA	NA
30687242	NA	NA
30687244	NA	NA
30687245	NA	NA
30687246	NA	NA
30687247	NA	NA
30687248	NA	1
30687249	NA	NA
30687250	NA	NA
30687251	NA	NA
30687252	NA	NA
30687253	NA	0
30687254	NA	NA
30687255	NA	NA
30687256	NA	NA
30687257	NA	NA
30687258	NA	NA
30687259	NA	NA
30687260	NA	NA
30687261	NA	NA
30687262	NA	NA
30687263	NA	1
30687264	NA	NA
30687265	NA	NA
30687266	NA	NA
30687267	NA	NA
30687268	NA	NA
30687269	NA	NA
30687270	NA	NA
30687271	NA	NA
30687272	NA	NA
30687273	NA	NA
30687274	NA	NA
30687275	NA	NA
30687276	NA	NA
30687277	NA	NA
30687278	NA	NA
30687279	NA	NA
30687280	NA	NA
30687281	NA	NA
30687282	NA	NA
30687283	NA	NA
30687284	NA	NA
30687285	NA	NA
30687286	NA	NA
30687287	NA	NA
30687288	NA	NA
30687290	NA	NA
30687291	NA	NA
30687292	NA	NA
30687293	NA	NA
30687294	NA	NA
30687295	NA	NA
30687296	NA	NA
30687297	NA	NA
30687298	NA	NA
30687299	NA	NA
30687300	NA	NA
30687301	NA	NA
30687302	NA	NA
30687303	NA	NA
30687304	NA	NA
30687305	NA	NA
30687306	NA	NA
30687307	NA	NA
30687308	NA	NA
30687309	NA	0
30687310	NA	NA
30687311	NA	NA
30687312	NA	NA
30687313	NA	NA
30687314	NA	NA
30687315	NA	NA
30687316	NA	0
30687317	NA	NA
30687318	NA	NA
30687319	NA	NA
30687320	NA	NA
30687321	NA	NA
30687322	NA	NA
30687323	NA	NA
30687324	NA	NA
30687325	NA	NA
30687326	NA	NA
30687327	NA	NA
30687328	NA	NA
30687329	NA	NA
30687330	NA	NA
30687331	NA	NA
30687332	NA	NA
30687333	NA	0
30687334	NA	NA
30687335	NA	NA
30687336	NA	NA
30687337	NA	NA
30687338	NA	NA
30687339	NA	NA
30687340	NA	NA
30687341	NA	NA
30687342	NA	NA
30687343	NA	NA
30687344	NA	NA
30687345	NA	NA
30687346	NA	NA
30687347	NA	NA
30687348	NA	NA
30687349	NA	NA
30687350	NA	NA
30687351	NA	NA
30687352	NA	0
30687353	NA	NA
30687354	NA	NA
30687355	NA	NA
30687356	NA	NA
30687357	NA	NA
30687358	NA	NA
30687359	NA	NA
30687360	NA	NA
30687361	NA	NA
30687362	NA	NA
30687363	NA	NA
30687364	NA	NA
30687365	NA	NA
30687366	NA	NA
30687367	NA	NA
30687368	NA	NA
30687369	NA	NA
30687370	NA	NA
30687371	NA	NA
30687372	NA	NA
30687373	NA	NA
30687374	NA	NA
30687375	NA	NA
30687376	NA	NA
30687377	NA	NA
30687378	NA	NA
30687379	NA	NA
30687380	NA	0
30687381	NA	NA
30687382	NA	0
30687383	NA	NA
30687384	NA	NA
30687385	NA	NA
30687386	NA	NA
30687387	NA	NA
30687388	NA	NA
30687389	NA	NA
30687390	NA	NA
30687391	NA	NA
30687392	NA	NA
30687393	NA	NA
30687394	NA	NA
30687395	NA	0
30687396	NA	NA
30687397	NA	NA
30687398	NA	NA
30687399	NA	NA
30687400	NA	NA
30687401	NA	NA
30687402	NA	NA
30687403	NA	NA
30687404	NA	NA
30687405	NA	NA
30687409	NA	NA
30687454	NA	NA
30687458	NA	NA
30687459	NA	0
30687460	NA	NA
30687461	NA	NA
30687462	NA	NA
30687463	NA	NA
30687489	NA	NA
30687490	NA	NA
30687493	NA	NA
30687494	0	NA
30687495	NA	NA
30687496	NA	NA
30687497	NA	NA
30687498	NA	NA
30687499	NA	NA
30687502	NA	NA
30687505	0	0
30687507	NA	NA
30687508	NA	NA
30687509	NA	NA
30687510	NA	NA
30687511	0	NA
30687512	NA	NA
30687513	NA	NA
30687514	NA	NA
30687520	NA	NA
30687521	NA	NA
30687522	NA	NA
30687524	NA	NA
30687543	NA	NA
30687544	NA	NA
30687545	NA	NA
30687546	NA	NA
30687547	NA	NA
30687548	NA	NA
30687549	NA	NA
30687550	NA	NA
30687551	NA	NA
30687552	NA	NA
30687553	0	NA
30687554	NA	NA
30687555	NA	NA
30687556	NA	NA
30687557	NA	NA
30687558	NA	NA
30687559	NA	NA
30687566	NA	NA
30687568	NA	NA
30687569	NA	NA
30687570	NA	NA
30687571	NA	NA
30687572	NA	NA
30687573	NA	NA
30687574	NA	NA
30687633	1	NA
30687634	NA	NA
30687635	NA	NA
30687636	NA	NA
30687637	NA	NA
30687638	NA	NA
30687639	NA	NA
30687640	NA	NA
30687642	NA	NA
30687643	NA	NA
30687644	NA	NA
30687645	NA	NA
30687646	NA	NA
30687647	NA	NA
30687648	NA	NA
30687649	NA	NA
30687684	NA	NA
30687685	NA	NA
30687686	NA	NA
30687687	NA	NA
30687688	NA	NA
30687689	NA	NA
30687690	NA	NA
30687691	NA	NA
30687692	NA	NA
30687693	NA	NA
30687694	NA	NA
30687695	NA	NA
30687696	NA	NA
30687697	NA	NA
30687698	NA	NA
30687699	NA	NA
30687700	NA	NA
30687701	NA	NA
30687702	NA	NA
30687703	NA	NA
30687704	NA	NA
30687705	NA	NA
30687707	NA	NA
30687708	NA	NA
30687709	NA	NA
30687710	NA	0
30687711	NA	NA
30687712	NA	NA
30687713	NA	NA
30687714	NA	NA
30687715	0	0
30687716	0	NA
30687717	0	0
30687718	NA	NA
30687719	NA	NA
30687720	NA	NA
30687721	NA	NA
30687722	NA	NA
30687723	NA	NA
30687724	NA	NA
30687726	NA	NA
30687727	NA	NA
30687728	NA	NA
30687732	NA	NA
30687734	NA	NA
30687735	1	1
30687736	0	0
30687737	NA	NA
30687738	NA	NA
30687739	0	NA
30687740	NA	NA
30687741	NA	NA
30687742	NA	NA
30687743	NA	NA
30687744	0	NA
30687745	NA	NA
30687746	NA	NA
30687747	NA	0
30687748	NA	NA
30687749	NA	NA
30687750	NA	NA
30687751	NA	NA
30687752	NA	NA
30687753	NA	NA
30687754	NA	NA
30687755	NA	NA
30687756	NA	NA
30687757	NA	NA
30687758	NA	NA
30687759	NA	NA
30687760	NA	NA
30687761	NA	NA
30687762	NA	0
30687763	NA	NA
30687764	NA	NA
30687765	NA	0
30687766	NA	NA
30687767	NA	NA
30687780	NA	NA
30687781	NA	NA
30687782	NA	NA
30687783	NA	NA
30687784	NA	NA
30687785	NA	NA
30687786	NA	NA
30687788	NA	0
30687789	NA	NA
30687790	NA	NA
30687791	NA	NA
30687792	NA	NA
30687793	NA	NA
30687794	NA	NA
30687795	NA	NA
30687796	NA	NA
30687797	NA	NA
30687800	0	NA
30687805	NA	NA
30687812	NA	NA
30688100	NA	NA
30688101	NA	NA
30688106	NA	NA
30688136	NA	NA
30689317	NA	NA
30689318	NA	NA
30689319	NA	NA
30689320	NA	NA
30689321	NA	NA
30689322	NA	NA
30689323	NA	NA
30689324	NA	NA
30689325	NA	NA
30689326	NA	NA
30689327	NA	NA
30689328	NA	NA
30689329	NA	NA
30689397	NA	0
30691255	NA	NA
30691320	NA	NA
30692847	NA	NA
30692848	NA	NA
30692849	NA	NA
30692850	NA	NA
30692851	NA	NA
30692852	NA	NA
30692853	NA	NA
30692854	NA	NA
30692855	NA	NA
30692856	NA	NA
30692857	NA	NA
30692858	NA	NA
30692859	NA	NA
30692860	NA	NA
30692861	NA	NA
30692862	NA	NA
30692863	NA	NA
30692864	NA	NA
30692870	NA	NA
30692871	NA	NA
30692872	NA	NA
30692904	NA	NA
30692905	NA	0
30692906	NA	NA
30692907	NA	NA
30692908	NA	NA
30692909	NA	NA
30692910	NA	NA
30692911	NA	NA
30692912	NA	NA
30692913	NA	NA
30692914	NA	NA
30692915	NA	0
30692916	NA	NA
30692917	NA	NA
30692918	NA	NA
30692919	NA	NA
30692920	NA	NA
30692921	NA	NA
30692922	NA	NA
30692923	NA	NA
30692924	NA	NA
30692925	NA	NA
30692926	NA	NA
30692927	NA	NA
30692928	NA	NA
30692929	1	1
30692930	NA	NA
30692931	NA	NA
30692932	NA	NA
30692933	NA	NA
30692934	NA	NA
30692935	NA	NA
30692936	NA	NA
30692937	NA	NA
30692938	NA	NA
30692939	NA	NA
30692940	NA	NA
30692942	NA	NA
30692943	NA	NA
30692944	NA	NA
30692945	0	NA
30692946	NA	NA
30692947	NA	0
30692948	NA	NA
30692949	NA	NA
30692950	NA	NA
30692951	NA	NA
30692952	NA	NA
30692953	NA	NA
30692954	NA	NA
30692955	NA	NA
30692956	NA	NA
30692957	NA	NA
30692958	NA	NA
30692959	NA	NA
30692960	NA	NA
30692962	NA	NA
30692963	NA	NA
30692964	NA	NA
30692965	0	NA
30692966	NA	NA
30692967	NA	0
30692968	NA	NA
30692969	NA	NA
30692970	NA	NA
30692971	NA	NA
30692972	NA	NA
30692973	NA	NA
30692974	NA	NA
30692975	NA	NA
30692976	NA	NA
30692977	NA	NA
30692978	NA	NA
30692979	NA	0
30692980	NA	NA
30692981	NA	NA
30692982	NA	NA
30692983	NA	NA
30692984	NA	NA
30692985	NA	NA
30692986	NA	NA
30692987	NA	NA
30692988	NA	NA
30692989	NA	NA
30692990	NA	NA
30692991	NA	NA
30692992	NA	NA
30692993	NA	NA
30692994	NA	NA
30692995	NA	NA
30692996	NA	NA
30692997	NA	NA
30692998	NA	NA
30692999	NA	NA
30693000	NA	NA
30693001	NA	NA
30693002	NA	NA
30693003	NA	NA
30693004	NA	NA
30693005	NA	NA
30693006	NA	NA
30693007	NA	NA
30693008	NA	NA
30693009	NA	NA
30693010	NA	NA
30693011	NA	NA
30693012	NA	NA
30693013	NA	NA
30693014	NA	NA
30693015	NA	NA
30693016	NA	NA
30693017	NA	NA
30693018	NA	NA
30693019	NA	NA
30693020	NA	NA
30693021	NA	0
30693022	NA	NA
30693023	NA	NA
30693027	NA	NA
30693032	NA	NA
30693033	NA	NA
30693034	NA	NA
30693035	NA	NA
30693037	NA	NA
30693038	NA	NA
30693039	NA	NA
30693040	NA	NA
30693041	NA	NA
30693042	NA	NA
30693043	0	NA
30693044	NA	NA
30693045	NA	NA
30693046	NA	NA
30693047	NA	NA
30693061	NA	NA
30693063	NA	NA
30693064	NA	NA
30693065	NA	NA
30693066	NA	NA
30693067	NA	NA
30693068	NA	NA
30693069	NA	NA
30693103	NA	NA
30693104	NA	NA
30693109	NA	NA
30693110	NA	NA
30693111	NA	NA
30693112	NA	NA
30693113	NA	NA
30693114	NA	NA
30693115	0	0
30693116	0	NA
30693117	NA	NA
30693118	NA	0
30693119	NA	NA
30693120	NA	NA
30693121	NA	NA
30693122	NA	NA
30693123	NA	NA
30693124	NA	NA
30693125	NA	0
30693126	NA	NA
30693127	NA	NA
30693128	NA	NA
30693129	NA	NA
30693130	NA	NA
30693131	NA	NA
30693132	NA	NA
30693133	NA	NA
30693134	NA	NA
30693270	0	0
30693271	NA	NA
30693272	NA	NA
30693273	NA	NA
30693274	NA	NA
30693275	NA	NA
30693276	NA	NA
30693277	NA	NA
30693278	NA	NA
30693279	NA	NA
30693280	NA	NA
30693281	NA	NA
30693282	NA	NA
30693283	NA	NA
30693284	NA	NA
30693285	NA	NA
30693286	NA	NA
30693288	1	1
30693289	0	NA
30693290	NA	NA
30693291	NA	NA
30693292	NA	NA
30693293	NA	NA
30693294	NA	NA
30693295	NA	NA
30693296	NA	NA
30693297	NA	NA
30693298	NA	NA
30693299	NA	NA
30693300	NA	NA
30693301	NA	NA
30693302	NA	NA
30693303	NA	NA
30693304	NA	NA
30693305	NA	0
30693306	NA	NA
30693307	NA	NA
30693308	NA	NA
30693309	NA	NA
30693828	NA	NA
30693853	NA	NA
30695777	NA	NA
30695780	NA	NA
30695784	NA	NA
30695786	NA	NA
30696373	NA	0
30697140	NA	NA
30697141	NA	NA
30697142	0	NA
30697143	NA	NA
30697144	NA	NA
30697145	NA	NA
30697146	NA	NA
30697147	NA	NA
30697148	NA	NA
30697149	NA	NA
30697150	0	NA
30697151	NA	NA
30697152	NA	NA
30697153	NA	NA
30697154	NA	0
30697156	NA	NA
30697157	NA	NA
30697158	NA	NA
30697159	NA	0
30697160	NA	NA
30697161	NA	NA
30697162	NA	NA
30697163	NA	NA
30697164	NA	NA
30697165	NA	NA
30697166	0	NA
30697167	NA	NA
30697168	NA	NA
30697169	NA	NA
30697170	0	NA
30697171	NA	NA
30697174	NA	NA
30697175	NA	NA
30697176	NA	NA
30697177	NA	NA
30697178	NA	NA
30697179	NA	NA
30697180	NA	NA
30697181	NA	NA
30697182	NA	NA
30697183	NA	NA
30697184	0	NA
30697185	0	0
30697186	NA	NA
30697188	NA	NA
30697189	NA	NA
30697190	1	1
30697191	NA	NA
30697192	NA	NA
30697193	NA	NA
30697194	NA	NA
30697195	NA	0
30697196	NA	NA
30697197	NA	NA
30697198	NA	NA
30697199	NA	NA
30697200	NA	NA
30697201	NA	NA
30697202	NA	0
30697203	NA	NA
30697204	NA	NA
30697205	NA	NA
30697206	NA	NA
30697207	NA	NA
30697208	NA	NA
30697209	NA	NA
30697210	NA	NA
30697211	NA	NA
30697212	NA	NA
30697213	NA	NA
30697214	NA	NA
30697215	NA	NA
30697216	NA	NA
30697217	NA	0
30697218	NA	NA
30697219	NA	NA
30697220	NA	NA
30697221	NA	NA
30697222	NA	NA
30697223	NA	NA
30697224	NA	NA
30697225	NA	NA
30697226	NA	NA
30697227	NA	NA
30697228	NA	NA
30697229	NA	NA
30697230	NA	0
30697231	NA	NA
30697361	NA	NA
30697362	NA	NA
30697363	NA	NA
30697364	NA	0
30697365	NA	NA
30697448	NA	NA
30697449	NA	NA
30697450	0	NA
30697451	0	NA
30697452	NA	NA
30697453	NA	NA
30697454	NA	NA
30697455	NA	NA
30697456	NA	NA
30697457	NA	NA
30697458	NA	NA
30697459	NA	NA
30697460	NA	NA
30697461	NA	NA
30697462	NA	0
30697463	NA	NA
30697466	NA	NA
30697467	NA	NA
30697506	NA	0
30697507	NA	NA
30697508	NA	NA
30697509	NA	NA
30697510	NA	NA
30697511	NA	NA
30697528	0	NA
30697529	NA	NA
30697530	NA	NA
30697531	NA	0
30697532	NA	NA
30697535	NA	NA
30697536	NA	NA
30697538	NA	NA
30697539	NA	NA
30697540	NA	NA
30697541	NA	NA
30697569	NA	NA
30697577	NA	NA
30697578	NA	NA
30697579	NA	NA
30697580	NA	NA
30698056	0	0
30698107	NA	NA
30698109	1	NA
30698111	NA	NA
30698112	NA	NA
30698113	NA	NA
30698538	NA	NA
