record_id,pmid,title,abstract,included,asreview_ranking
558,35978576,"Immunohistochemistry of Immune Cells and Cells Bound to in vivo Administered Antibodies in Liver, Lung, Pancreas, and Colon of B6/lpr Mice.","Employing a novel mouse model of immune related adverse events (irAEs) induced by combination of anti-PD1 and anti-CTLA-4 antibodies, we visualized immune infiltration into the liver, lung, pancreas, and colon. Here, we describe the avidin-biotin conjugate (ABC) method used to stain T cells (CD4 and CD8), B cells (CD19), macrophages (F4/80), and cells bound by the in vivo administered rat anti-mouse antibodies for chromogenic immunohistochemistry (IHC). Using a biotinylated goat anti-rat antibody, we detected the localization of cells bound to the in vivo antibodies for PD-1 and CTLA-4. IHC has advantages over other techniques, namely antibody availability, resistance to photobleaching, and greater sensitivity. Additionally, detection and localization of in vivo antibodies can be used in mice models to infer their therapeutic efficacy, stability, and function. Graphical abstract.",1,11
198,35982824,The Influence of Different γ-Irradiation Patterns on Factors that May Affect Cell Cycle Progression in Male Rats.,"Most studies of the biological effects of ionizing radiation have been done on a single acute dose, while clinically and environmentally exposures occur under chronic/repetitive conditions. It is important to study effects of different patterns of ionizing radiation. In this study, a rat model was used to compare the effects of repetitive and acute exposure. Groups: (I) control, (II, III) were exposed to fractionated doses (1.5 GyX4) and (2 GyX4), respectively/24h interval, and (IV, V) were exposed to 6 Gy and 8 Gy of whole-body gamma irradiation, respectively. The gene expression of MAPT and tau phosphorylation increased in all irradiated groups but the gene expression of PKN not affected. TGFβ% increased at dose of 2 GyX4 only. In addition, the cell cycle was arrested in S phase. Micronucleus (MN) increased and cell proliferation decreased. In conclusion, the dose and pattern of ionizing radiation do not affect the MAPT and PKN gene expression, but TGF-β, p-tau, MN assay and cell proliferation are significantly affected. The dose of 2 GyX4 showed distinctive effect. Repetitive exposure may increase TGF-β%, which causes radio-resistance and, G2/M delay. Thus, the cell cycle could be regulated in a different manner according to the dose and pattern of irradiation.",1,12
2425,35966871,Human Recombinant Alkaline Phosphatase (Ilofotase Alfa) Protects Against Kidney Ischemia-Reperfusion Injury in Mice and Rats Through Adenosine Receptors.,"Adenosine triphosphate (ATP) released from injured or dying cells is a potent pro-inflammatory danger signal. Alkaline phosphatase (AP), an endogenous enzyme that de-phosphorylates extracellular ATP, likely plays an anti-inflammatory role in immune responses. We hypothesized that ilofotase alfa, a human recombinant AP, protects kidneys from ischemia-reperfusion injury (IRI), a model of acute kidney injury (AKI), by metabolizing extracellular ATP to adenosine, which is known to activate adenosine receptors. Ilofotase alfa (iv) with or without ZM241,385 (sc), a selective adenosine A2A receptor (A2AR) antagonist, was administered 1 h before bilateral IRI in WT, A2AR KO (Adora2a-/- ) or CD73-/- mice. In additional studies recombinant alkaline phosphatase was given after IRI. In an AKI-on-chronic kidney disease (CKD) ischemic rat model, ilofotase alfa was given after the three instances of IRI and rats were followed for 56 days. Ilofotase alfa in a dose dependent manner decreased IRI in WT mice, an effect prevented by ZM241,385 and partially prevented in Adora2a-/- mice. Enzymatically inactive ilofotase alfa was not protective. Ilofotase alfa rescued CD73-/- mice, which lack a 5'-ectonucleotidase that dephosphorylates AMP to adenosine; ZM241,385 inhibited that protection. In both rats and mice ilofotase alfa ameliorated IRI when administered after injury, thus providing relevance for therapeutic dosing of ilofotase alfa following established AKI. In an AKI-on-CKD ischemic rat model, ilofotase alfa given after the third instance of IRI reduced injury. These results suggest that ilofotase alfa promotes production of adenosine from liberated ATP in injured kidney tissue, thereby amplifying endogenous mechanisms that can reverse tissue injury, in part through A2AR-and non-A2AR-dependent signaling pathways.",1,13
174,35982981,Amide Proton Transfer-Weighted Magnetic Resonance Imaging for Detecting Severity and Predicting Outcome after Traumatic Brain Injury in Rats.,"After traumatic brain injury (TBI), early assessment of secondary injury severity is critically important for estimating prognosis and treatment stratification. Currently, secondary injury severity is difficult to estimate. The objective of this study was to investigate the capacity of non-invasive amide proton transfer-weighted (APTw) magnetic resonance imaging (MRI) techniques to assess TBI injury in different brain regions and predict long-term neurobehavior outcomes. Fifty-five male and female rats were subjected to a controlled cortical impact with one of three different impactor depths to produce different degrees of TBI. Multi-parameter MRI data were acquired on a 4.7-Tesla scanner at 1 h, 1 day, and 3 days. Immunofluorescence staining was used to detect activated microglia at 3 days, and neurobehavioral tests were performed to assess long-term outcomes after 28 days. The APTw signal in the injury core at 1 day correlated with deficits in sensorimotor function, the sucrose preference test (a test for anhedonia), and spatial memory function on the Barnes maze. The APTw signal in the perilesion ipsilateral cortex gradually increased after TBI, and the value at 3 days correlated with microglia density at 3 days and with spatial memory decline and anhedonia at 28 days. The correlation between APTw and activated microglia was also observed in the ipsilateral thalamus, and its correlation to memory deficit and depression was evident in other ipsilateral sites. These results suggest that APTw imaging can be used for detecting secondary injury and as a potential predictor of long-term outcomes from TBI.",1,14
1369,35969093,Measuring Skeletal Muscle Thermogenesis in Mice and Rats.,"Skeletal muscle thermogenesis provides a potential avenue for better understanding metabolic homeostasis and the mechanisms underlying energy expenditure. Surprisingly little evidence is available to link the neural, myocellular, and molecular mechanisms of thermogenesis directly to measurable changes in muscle temperature. This paper describes a method in which temperature transponders are utilized to retrieve direct measurements of mouse and rat skeletal muscle temperature. Remote transponders are surgically implanted within the muscle of mice and rats, and the animals are given time to recover. Mice and rats must then be repeatedly habituated to the testing environment and procedure. Changes in muscle temperature are measured in response to pharmacological or contextual stimuli in the home cage. Muscle temperature can also be measured during prescribed physical activity (i.e., treadmill walking at a constant speed) to factor out changes in activity as contributors to the changes in muscle temperature induced by these stimuli. This method has been successfully used to elucidate mechanisms underlying muscle thermogenic control at the level of the brain, sympathetic nervous system, and skeletal muscle. Provided are demonstrations of this success using predator odor (PO; ferret odor) as a contextual stimulus and injections of oxytocin (Oxt) as a pharmacological stimulus, where predator odor induces muscle thermogenesis, and Oxt suppresses muscle temperature. Thus, these datasets display the efficacy of this method in detecting rapid changes in muscle temperature.",1,15
1788,35967867,Changes of gut microbiota structure in rats infected with Toxoplasma gondii.,"Toxoplasma gondii (T. gondii) infection can cause intestinal inflammation in rodents and significantly alters the structure of gut microbiota. However, the effects of different T. gondii genotypes on the gut microbiota of rats remain unclear. In this study, acute and chronic T. gondii infection in Fischer 344 rats was induced artificially by intraperitoneal injection of tachyzoites PYS (Chinese 1 ToxoDB#9) and PRU (Type II). Fecal 16S rRNA gene amplicon sequencing was employed to analyze the gut microbiota structure at different stages of infection, and to compare the effects of infection by two T. gondii genotypes. Our results suggested that the infection led to structural changes of gut microbiota in rats. At the acute infection stage, the microbiota diversity increased, while both diversity and abundance of beneficial bacteria decreased at the chronic infection stage. The differences of microbiota structure were caused by strains of different genotypes. However, the diversity changes were consistent. This study demonstrates that the gut microbiota plays an important role in T. gondii infection in rats. The data will improve our understanding of the association between T. gondii infection and gut microbiota in rodents.",1,16
2463,35966795,Dietary Supplementation With Tinospora cordifolia Improves Anxiety-Type Behavior and Cognitive Impairments in Middle-Aged Acyclic Female Rats.,"The midlife transition period in women marks the progressive flattening of neurological health along with increased adiposity, dyslipidemia, frailty, and inflammatory responses mainly attributed to the gradual decline in estrogen levels. Conflicting reports of hormone replacement therapy (HRT) necessitate the exploration of novel therapeutic interventions using bioactive natural products having the least toxicity and a holistic mode of action for the preservation of metabolic homeodynamics with aging in women. The present study was planned to investigate the effects of aging and/or a high-fat diet (HFD) on cognitive impairments and anxiety and further their management by dietary supplement with the Tinospora cordifolia stem powder (TCP). Acyclic female rats were included in this study as the model system of the perimenopause phase of women along with young 3-4 months old rats as controls. Rats were fed on with and without TCP supplemented normal chow or HFD for 12 weeks. Animals fed on a TCP supplemented normal chow showed consistent management of body weight over a 12-week regimen although their calorie intake was much higher in comparison to their age-matched controls. Post-regimen, neurobehavioral tests, such as novel object recognition and elevated plus maze, performed on these animals showed improvement in their learning and memory abilities as well as the anxiety-like behavior. Furthermore, due to the presence of multiple components, TCP was observed to modulate the expression of key marker proteins to ameliorate neuroinflammation and apoptosis and promote cell survival and synaptic plasticity in the hippocampus and the prefrontal cortex (PFC) regions of the brain. These findings suggest that TCP supplementation in diet during the midlife transition period in women may be a potential interventional strategy for the management of menopause-associated anxiety and cognitive impairments and healthy aging.",1,17
1375,35969082,Assessment of Nerve Injury-induced Mechanical Hypersensitivity in Rats using an Orofacial Operant Pain Assay.,"Pain has sensory and affective components. Unlike traditional, reflex-based pain assays, operant pain assays can produce more clinically relevant results by addressing the cognitive and motivational aspects of pain in rodents. This paper presents a protocol for assessing mechanical hypersensitivity following chronic constriction injury of the infraorbital nerves (CCI-ION) in rats using an orofacial operant pain system. Before CCI-ION surgery, rats were trained in an orofacial pain assessment device (OPAD) to drink sweetened condensed milk while making facial contact with the metal spiked bars and lick-tube. In this assay, rats can choose between receiving milk as a positive reinforcer or escaping an aversive mechanical stimulus that is produced by a vertical row of small pyramid-shaped spikes on each side of the reward access hole. Following 2 weeks of training in the OPAD and before the CCI-ION surgery, baseline mechanical sensitivity data were recorded for 5 days for each rat during a 10 min testing session. During a session, the operant system automatically records the number of reward bottle activations (licks) and facial contacts, contact duration, and latency to the first lick, among other measures. Following baseline measurements, rats underwent either CCI-ION or sham surgery. In this protocol, mechanical hypersensitivity was quantified by measuring the number of licks, latency to the first lick, the number of contacts, and the ratio of licks to facial contacts (L/F). The data showed that CCI-ION resulted in a significant decrease in the number of licks and the L/F ratio and an increase in the latency to the first lick, indicating mechanical hypersensitivity. These data support the use of operant-based pain assays to assess mechanical pain sensitivity in preclinical pain research.",1,18
1522,35968364,Histopathological modeling of status epilepticus-induced brain damage based on in vivo diffusion tensor imaging in rats.,"Non-invasive magnetic resonance imaging (MRI) methods have proved useful in the diagnosis and prognosis of neurodegenerative diseases. However, the interpretation of imaging outcomes in terms of tissue pathology is still challenging. This study goes beyond the current interpretation of in vivo diffusion tensor imaging (DTI) by constructing multivariate models of quantitative tissue microstructure in status epilepticus (SE)-induced brain damage. We performed in vivo DTI and histology in rats at 79 days after SE and control animals. The analyses focused on the corpus callosum, hippocampal subfield CA3b, and layers V and VI of the parietal cortex. Comparison between control and SE rats indicated that a combination of microstructural tissue changes occurring after SE, such as cellularity, organization of myelinated axons, and/or morphology of astrocytes, affect DTI parameters. Subsequently, we constructed a multivariate regression model for explaining and predicting histological parameters based on DTI. The model revealed that DTI predicted well the organization of myelinated axons (cross-validated R = 0.876) and astrocyte processes (cross-validated R = 0.909) and possessed a predictive value for cell density (CD) (cross-validated R = 0.489). However, the morphology of astrocytes (cross-validated R > 0.05) was not well predicted. The inclusion of parameters from CA3b was necessary for modeling histopathology. Moreover, the multivariate DTI model explained better histological parameters than any univariate model. In conclusion, we demonstrate that combining several analytical and statistical tools can help interpret imaging outcomes to microstructural tissue changes, opening new avenues to improve the non-invasive diagnosis and prognosis of brain tissue damage.",1,19
2102,35967416,Aspirin eugenol ester alleviates lipopolysaccharide-induced acute lung injury in rats while stabilizing serum metabolites levels.,"Aspirin eugenol ester (AEE) was a novel drug compound with aspirin and eugenol esterified. AEE had various pharmacological activities, such as anti-inflammatory, antipyretic, analgesic, anti-oxidative stress and so on. In this study, it was aimed to investigate the effect of AEE on the acute lung injury (ALI) induced by lipopolysaccharide (LPS) in rats. In vitro experiments evaluated the protective effect of AEE on the LPS-induced A549 cells. The tumor necrosis factor-α (TNF-α), interleukin-6 (IL-6), and interleukin-1β (IL-1β) were measured in the cell supernatant. The Wistar rats were randomly divided into five groups (n = 8): control group, model group (LPS group), LPS + AEE group (AEE, 54 mg·kg-1), LPS + AEE group (AEE, 108 mg·kg-1), LPS + AEE group (AEE, 216 mg·kg-1). The lung wet-to-dry weight (W/D) ratio and immune organ index were calculated. WBCs were counted in bronchoalveolar lavage fluid (BALF) and total protein concentration was measured. Hematoxylin-Eosin (HE) staining of lung tissue was performed. Glutathione (GSH), glutathione peroxidase (GPx), catalase (CAT), antioxidant superoxide dismutase (SOD), total antioxidant capacity (T-AOC), lactate dehydrogenase (LDH), C-reactive protein (CRP), myeloperoxidase (MPO), malondialdehyde (MDA), macrophage mobility inhibitory factor (MIF), TNF-α, IL-6, and IL-1β activity were measured. The metabolomic analysis of rat serum was performed by UPLC-QTOF-MS/MS. From the results, compared with LPS group, AEE improved histopathological changes, reduced MDA, CRP, MPO, MDA, and MIF production, decreased WBC count and total protein content in BALF, pro-inflammatory cytokine levels, immune organ index and lung wet-dry weight (W/D), increased antioxidant enzyme activity, in a dose-dependent manner. The results of serum metabolomic analysis showed that the LPS-induced ALI caused metabolic disorders and oxidative stress in rats, while AEE could ameliorate it to some extent. Therefore, AEE could alleviate LPS-induced ALI in rats by regulating abnormal inflammatory responses, slowing down oxidative stress, and modulating energy metabolism.",1,20
424,35979175,New use for old drug: Local delivery of puerarin facilitates critical-size defect repair in rats by promoting angiogenesis and osteogenesis.,"Large bone defect repair is a challenging clinical problem due to limited self-repair ability. A well-designed bone filling product should possess the ability to induce tissue in-growth and facilitate neovascularization and new bone formation. Puerarin has been used in clinics for a long time, and recently it was found to be able to promote osteogenesis. This study aimed to investigate a puerarin-based drug/delivery combination implant for promoting large bone defect repair. Puerarin was incorporated into the poly (lactic-co-glycolic acid)/β-calcium phosphate (PLGA/TCP, PT) to form a porous PLGA/TCP/Puerarin (PTP) composite scaffold by low-temperature rapid prototyping technology. Its structural and degradation were analyzed in vitro. Then we employed a rat calvarial critical size defect model to assess the potency of the PTP scaffold. MC3T3-E1 cells and EA. hy 926 ​cells were used to investigate the underlying mechanism. PTP scaffold inherited all advantages of PT scaffold in structural, mechanical, and biodegradation, meanwhile puerarin stably and continuously released from PTP scaffold and lasted for 5 months in vitro. At 8 weeks after implantation, the PTP scaffold triggered new bone formation in the macro-pores of the scaffold and inside the scaffold accompanied by the degrading materials. The underlying mechanism revealed that the PTP scaffold induced vascular infiltration and recruit repair cells through stimulating vascular endothelial growth factor (VEGF) and bone morphogenetic protein 2 (BMP-2) expressions to promote angiogenesis and osteogenesis. Puerarin-enriched porous PTP scaffold was a promising local delivery system with sustained release of puerarin for facilitating defect repair through getting synergistic angiogenic and osteogenic effects. The PTP scaffold presents a potential drug/device combination medical implant for large bone defect repair, which also provides a new and innovative application for the old drug puerarin.",1,21
